domain,ats,confidence,url,explanation
lincolninternational.com,Greenhouse,high,https://www.lincolninternational.com/greenhouse/?gh_jid=6545299,"Clear evidence from URL structure showing '/greenhouse/?gh_jid=' pattern which is distinctive to Greenhouse ATS. This URL appeared in search results for Lincoln International careers, confirming they use Greenhouse for job applications."
neerinfo.com,SmartRecruiters,high,https://careers.smartrecruiters.com/NeerinfoSolutions,Official careers page hosted on SmartRecruiters platform at careers.smartrecruiters.com/NeerinfoSolutions - clear URL pattern indicates SmartRecruiters ATS usage
carescout.com,Workday,high,https://gnw.wd1.myworkdayjobs.com/CareScout,Clear Workday ATS identified from official careers page URL pattern 'gnw.wd1.myworkdayjobs.com/CareScout' and confirmed link from carescout.com/careers
deeroaks.com,UltiPro,high,https://recruiting2.ultipro.com/DEE1004DEER/JobBoard/f5fad639-9deb-4916-bfb8-f79bbf58e01e,Found direct job application link on their careers page that clearly uses UltiPro (now UKG Pro) as evidenced by the ultipro.com domain in the URL
prokatchers.com,SmartRecruiters,high,https://careers.smartrecruiters.com/ProKatchersLLC,Clear evidence from official careers URL using SmartRecruiters domain (careers.smartrecruiters.com/ProKatchersLLC) and confirmed by page analysis showing SmartRecruiters branding and infrastructure
technogeninc.com,SmartRecruiters,high,https://careers.smartrecruiters.com/Technogen,Found SmartRecruiters career portal with active job listings. URL pattern and HTML analysis confirm SmartRecruiters ATS usage.
resumesending.com,UNKNOWN,low,https://www.resumesending.com/,Unable to detect ATS system. Website returned 503 error and no career pages or job postings were found through multiple search approaches. Resume Sending appears to be a resume distribution service rather than an actively hiring company.
healing-partners.com,Jobvite,high,https://jobs.jobvite.com/healing-partners/search?c=Medical/Healthcare&p=0,Clear URL pattern shows jobs.jobvite.com/healing-partners domain. Confirmed active Jobvite career page with 38+ job listings for healthcare positions. Company uses Jobvite as their primary ATS platform.
maximustekinc.com,Avature,high,https://maximus.avature.net/careers/SearchJobs,"Maximus (maximus.com, which corresponds to maximustekinc.com) primarily uses Avature as their ATS system. The company's main job portal is hosted on maximus.avature.net with numerous active job listings. They also have a secondary iCIMS system at external-maximus.icims.com, but Avature appears to be the primary platform based on the volume of active job postings found."
iohk.io,Workable,high,https://apply.workable.com/io-global/,IOHK (IO Global) clearly uses Workable as their ATS. Both web search results and their official website iohk.io directly link to their careers page at apply.workable.com/io-global/. The URL structure and domain clearly indicate Workable as the ATS platform.
agreliantgenetics.com,UKG Pro (UltiPro),high,https://recruiting.ultipro.com/AGR1003ARGI/JobBoard/593ceca8-8f6d-4dd3-bb1b-b8b332475b71/?q=&o=postedDateDesc,"Clear ATS identification from URL structure. The careers page directly links to recruiting.ultipro.com, which is the UKG Pro (formerly UltiPro) recruiting platform. This is a definitive indicator of their ATS system."
pantheon.io,Greenhouse,high,https://boards.greenhouse.io/pantheon/jobs/3802503,"Multiple job application URLs found on boards.greenhouse.io/pantheon domain, confirmed by ATS detection tool with high confidence. Pantheon Systems uses Greenhouse as their applicant tracking system for all job postings and applications."
ravinitsolutions.com,UNKNOWN,high,https://www.ravinitsolutions.com/careers/,"Ravin IT Solutions uses a simple WordPress-based careers page with WPForms for job applications. No dedicated ATS system detected - they use email-based applications (info@ravinitsolutions.com, mallik@ravinitsolutions.com) rather than external ATS platforms like Workday, Greenhouse, or Lever."
workgenius.com,BambooHR,high,https://workgenius.bamboohr.com/jobs/,WorkGenius uses BambooHR as their primary ATS system. This was clearly identified from their official career page at workgenius.com/career/ which contains a direct link to workgenius.bamboohr.com/jobs/ for job applications. The URL structure definitively indicates BambooHR integration.
immpactbio.com,Greenhouse,high,https://job-boards.greenhouse.io/immpactbio,Clear evidence from search results showing dedicated Greenhouse job board at job-boards.greenhouse.io/immpactbio. This URL pattern is a definitive indicator of Greenhouse ATS usage.
cornerstonecapital.com,UltiPro,high,https://recruiting2.ultipro.com/COR1029CHLI/JobBoard/91ecc0f9-b3ab-48c5-85d8-67154b89ba17/,"Found careers page with clear UltiPro URLs for job applications. Both external and internal job boards use ultipro.com domain, confirmed by ATS detection tool with high confidence."
gordonbrothers.com,Workday,high,https://wd1.myworkdaysite.com/recruiting/gordonbrothers/Gordon_Brothers_Careers,Clear identification through URL structure - the careers portal is hosted on 'wd1.myworkdaysite.com' which is Workday's standard domain pattern for job applications. No additional analysis needed as this is definitive evidence.
alertmedia.com,Greenhouse,high,https://boards.greenhouse.io/alertmedia/jobs/4339863002,"AlertMedia clearly uses Greenhouse as their ATS. Multiple job postings are hosted on boards.greenhouse.io/alertmedia, including positions like Account Executive, Senior Software Engineer, AI Engineer, and others. The URL structure and domain confirm Greenhouse integration."
delphi-us.com,Bullhorn,high,https://delphi-us.com/careers-portal/,"Clear evidence of Bullhorn ATS usage through: 1) URL path containing ""bullhorn-oscp"" plugin, 2) Use of Matador Jobs WordPress plugin which is Bullhorn's official integration, 3) Delphi-US is a staffing agency which aligns with Bullhorn's target market"
cq-partners.com,Teamtailor,high,https://cqpartners.na.teamtailor.com/,"CQ Partners uses Teamtailor as their primary ATS system. This is clearly evident from their main careers portal URL (cqpartners.na.teamtailor.com) and specific job posting URLs that follow the Teamtailor pattern. The portal is active with 9+ current job openings in hearing healthcare. They also have a secondary iCIMS portal, but Teamtailor appears to be their primary system."
tigerconnect.com,Workday,high,https://tigerconnect.wd1.myworkdayjobs.com/en-US/TC/details/Technical-Sales-Support_R002816,Clear URL pattern 'tigerconnect.wd1.myworkdayjobs.com' definitively indicates Workday ATS usage. This follows the standard Workday subdomain structure for job applications.
pacificlifere.com,Workday,high,https://pacificlife.wd1.myworkdayjobs.com/PacificLifeReCareers,Pacific Life Re uses Workday as their ATS system. This is clearly indicated by their job portal URL which uses the standard Workday domain pattern 'myworkdayjobs.com'. The careers portal at pacificlife.wd1.myworkdayjobs.com/PacificLifeReCareers is the primary job application portal for Pacific Life Re positions.
gsc-3d.com,iCIMS,high,https://gsc-3d.icims.com/jobs,Found direct link to iCIMS portal at gsc-3d.icims.com/jobs from their official careers page. The subdomain pattern clearly indicates iCIMS ATS usage.
zadv.com,SilkRoad,high,https://jobs.silkroad.com/Zadv/Careers,"ZADV/Zimmerman Advertising uses SilkRoad ATS for their job applications. This was confirmed by finding their dedicated careers portal at jobs.silkroad.com/Zadv/Careers, which displays job listings and application functionality powered by SilkRoad."
markanthony.com,UltiPro,high,https://recruiting2.ultipro.com/MAR5000MAG/JobBoard/8febf0ae-8776-428e-b625-2faa005b7fc1/,Clear URL pattern shows recruiting2.ultipro.com domain across all job board links. UltiPro (now UKG Pro) is definitively identified from the consistent URL structure used for all job postings.
tekshapers.com,UNKNOWN,high,https://www.tekshapers.com/job?job-id=1,"TekShapers uses a custom-built job application system rather than a recognized ATS platform. The job application forms are hosted on their own domain with custom endpoints and do not integrate with known ATS providers like Workday, Greenhouse, Lever, or others. The application process involves direct form submission to their own servers."
tctcares.com,Largely,high,https://careers.tctcares.com/v/DVm3L8GzVyQtGlM_QRPmW,"Successfully identified Largely as the ATS platform through analysis of the careers page. The detection found multiple references to 'largely' in script URLs, CSS classes, and a footer section stating 'Powered by Largely' with a link to largely.com."
fii-usa.com,JazzHR,high,https://foxconnggroup.applytojob.com/apply,"FII USA uses JazzHR as their ATS system. This was confirmed by the official Foxconn career portal at foxconnggroup.applytojob.com which displays ""Powered by JazzHR"" branding and uses the characteristic applytojob.com URL structure that JazzHR employs."
gobrightline.com,UltiPro,high,https://recruiting.ultipro.com/FLO1008FLECI/JobBoard/fa69458f-9429-4b31-aedc-ac3bd91e4bec/?q=&o=postedDateDesc,Found direct link to UltiPro recruiting platform from company's careers page. The URL structure clearly indicates UltiPro (recruiting.ultipro.com) as the ATS system used for job applications.
tmcltd.com,Successfactors,high,https://tmcltd.com/careers/,Detected SuccessFactors ATS through HTML pattern matching on both the main careers page and SAP jobs page with high confidence. TMC Ltd (TallyMarks Consulting) uses SuccessFactors for their job application process.
bayasystems.com,Greenhouse,high,https://job-boards.greenhouse.io/bayasystems,Found clear evidence of Greenhouse ATS usage through the official job board URL pattern 'job-boards.greenhouse.io/bayasystems' which is a definitive indicator of Greenhouse implementation.
cpacanada.ca,UNKNOWN,low,https://www.cpacanada.ca/the-cpa-profession/about-cpa-canada/jobs-at-cpa-canada,Unable to access CPA Canada's job application system. The careers page exists but timeout errors prevented analysis of their application process. No clear ATS indicators found in search results.
outerknown.com,BambooHR,high,https://outerknown.bamboohr.com/jobs/,Found clear evidence of BambooHR usage through the careers URL structure (outerknown.bamboohr.com/jobs/). This subdomain pattern is a definitive indicator of BambooHR as the ATS provider.
xlconstruction.com,Jobvite,high,https://app.jobvite.com/CompanyJobs/Careers.aspx?k=Apply&j=o3pEufwk&c=qxgaVfwC&l=CkFHVfwl,"All job application links on xlconstruction.com point to app.jobvite.com URLs, clearly indicating they use Jobvite as their ATS system. Multiple job postings confirmed this pattern."
nuvoair.com,Lever,high,https://jobs.lever.co/NuvoAir,"Clear evidence from search results showing NuvoAir uses Lever ATS. The direct URL https://jobs.lever.co/NuvoAir follows Lever's standard format for company job pages, providing definitive identification of their ATS system."
westcoastllc.com,UNKNOWN,high,https://westcoastllc.com/job/Existingoppertunities.php,West Coast Consulting LLC uses a traditional email-based application process. Job seekers are instructed to email resumes directly to HR rather than using an ATS. The company has 5 active job listings but no online application system or ATS integration detected.
origisenergy.com,Greenhouse,high,https://origisenergy.com/current-openings/,"Found embedded Greenhouse application iframe (grnhse_app) on both the current openings and technicians career pages, indicating they use Greenhouse as their ATS system."
soupilar.com.br,UNKNOWN,high,https://www.soupilar.com.br/carreiras,"Pilar uses a direct email-based application process (samara.nery@soupilar.com.br) rather than a traditional ATS. Their careers page has a simple contact form for speculative applications, and job applications are handled via direct email contact, not through an automated tracking system."
theouai.com,Workable,high,https://apply.workable.com/theouai/?lng=en,"OUAI clearly uses Workable as their ATS system. Multiple job posting URLs show the apply.workable.com domain, including their main careers page and specific job postings. This is a definitive identification."
fedex.com,Workday,high,https://fedex.wd1.myworkdayjobs.com/FXE-LAC_External_Career_Site,"FedEx clearly uses Workday as their ATS system. All job applications are hosted on fedex.wd1.myworkdayjobs.com domain, which is the standard Workday URL pattern. Multiple job postings across different regions (US, Canada, EU, APAC, MEISA) all use the same Workday platform with various career site divisions."
w3global.com,TalentPathway,high,https://www.w3global.com/candidate-apply?id=o1f0e30BAwr5oCJpkqln,"Detected TalentPathway ATS with high confidence. Both the candidate application page and submit resume page show JavaScript variables pointing to 'w3globalbe.talentpathway.com' backend, clearly indicating TalentPathway as their ATS platform. The URL structure and form implementation align with TalentPathway's typical setup."
creativechaos.co,Workable,high,https://apply.workable.com/creativechaos/,Creative Chaos uses Workable as their ATS system. This is clearly evident from their dedicated job application portal URL 'apply.workable.com/creativechaos/' which follows Workable's standard URL pattern for client companies. The search results consistently show this as their primary job application platform.
thecarvercompanies.com,UltiPro,high,https://recruiting.ultipro.com/CAR1069CVRP/JobBoard/d3b3d9bd-2274-4590-8b83-3e130545c25a/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,"Found direct job board link on company careers page using recruiting.ultipro.com domain, clearly indicating UltiPro (now UKG Pro) as their ATS system. The URL pattern is a definitive indicator of the ATS platform being used."
systemonex.com,UNKNOWN,high,https://systemonex.com/career/,SystemOneX uses a custom-built job application system with modal-based forms on their careers page. No third-party ATS platform detected - they appear to handle applications internally through their own custom solution.
ezeefiber.com,Paycor,high,https://ezeefiber.com/careers/,"Found embedded Paycor recruiting iframe on careers page with URL recruitingbypaycor.com/career/iframe.action?clientId=8a7883d0879c591b018801d9edc2341b, clearly indicating Paycor as their ATS system."
